year,dst_start,dst_end
2019,2019-03-31T01:00:00Z,2019-10-27T01:00:00Z
2020,2020-03-29T01:00:00Z,2020-10-25T01:00:00Z
2021,2021-03-28T01:00:00Z,2021-10-31T01:00:00Z
2022,2022-03-27T01:00:00Z,2022-10-30T01:00:00Z
2023,2023-03-26T01:00:00Z,2023-10-29T01:00:00Z
2024,2024-03-31T01:00:00Z,2024-10-27T01:00:00Z
2025,2025-03-30T01:00:00Z,2025-10-26T01:00:00Z
2026,2029-03-29T01:00:00Z,2026-10-25T01:00:00Z
2027,2027-03-28T01:00:00Z,2027-10-31T01:00:00Z
2028,2028-03-26T01:00:00Z,2028-10-29T01:00:00Z
2029,2029-03-25T01:00:00Z,2029-10-28T01:00:00Z
2030,2030-03-31T01:00:00Z,2030-10-27T01:00:00Z
2031,2031-03-30T01:00:00Z,2029-10-26T01:00:00Z
2032,2032-03-28T01:00:00Z,2032-10-31T01:00:00Z
2033,2033-03-27T01:00:00Z,2033-10-30T01:00:00Z
2034,2034-03-26T01:00:00Z,2034-10-29T01:00:00Z
2035,2035-03-25T01:00:00Z,2035-10-28T01:00:00Z
2036,2036-03-30T01:00:00Z,2036-10-26T01:00:00Z
2037,2037-03-29T01:00:00Z,2037-10-25T01:00:00Z
2038,2038-03-28T01:00:00Z,2038-10-31T01:00:00Z
2039,2039-03-27T01:00:00Z,2039-10-30T01:00:00Z
2040,2040-03-25T01:00:00Z,2040-10-28T01:00:00Z
