hour,f
0,1.22063783684774
1,1.3269378567269068
2,1.3865764083355154
3,1.4052479555670392
4,1.4187054994093233
5,1.3874071300439652
6,1.3073696869827158
7,1.0760958879133526
8,0.9524035824755875
9,0.8424321353360347
10,0.847644360999535
11,0.8782830969624158
12,0.8452843808112951
13,0.8421200430615468
14,0.8853447179602996
15,0.8876223514555621
16,0.8425498890003971
17,0.7185697238497533
18,0.6560062693310563
19,0.6973213380040135
20,0.7468723613464879
21,0.8363447764675211
22,0.9421412260507713
23,1.0500814850611626
